,restaurant,probability
0,agern,0.6881359322252342
1,ai-fiori,0.6934663387163827
2,aldea,0.7063370980728375
3,aquavit,0.5742543362497339
4,atera,0.5344024702266693
5,aureole,0.7299215161067462
6,babbo,0.7984095857875152
7,bar-uchū,0.3261260441660749
8,blue-hill,0.495608739147713
9,bâtard,0.6992080280434637
10,cafe-boulud,0.6275124323842554
11,carbone,0.7009378921117096
12,casa-enrique,0.6788822117009907
13,casa-mono,0.8051036472305062
14,caviar-russe,0.44289291618947335
15,chefs-table-at-brooklyn-fare,0.5049394513139117
16,contra,0.6863348878867234
17,cote,0.7172694689207653
18,del-posto,0.5760037203155279
19,dovetail,0.7982075249508221
20,eleven-madison-park,0.6248879423397962
21,gabriel-kreuther,0.5303974790822773
22,gotham-bar-and-grill,0.4962840053094713
23,hirohisa,0.42404232235813744
24,jean-georges,0.5298037181184414
25,jewel-bako,0.8444720033374624
26,jungsik,0.3258224126934283
27,junoon,0.8418256584688443
28,kajitsu,0.20966858199652721
29,kanoyama,0.7923644416070912
30,ko,0.37231172206153357
31,kyo-ya,0.5607125878141318
32,l-appart,0.23477142398696293
33,la-sirena,0.5140705408948094
34,la-vara,0.7104941797806215
35,le-bernardin,0.4251009350891841
36,masa,0.7700896768071807
37,minetta-tavern,0.7036738719003183
38,nix,0.7442628138437201
39,nomad,0.8718615269348653
40,per-se,0.387162813590346
41,rebelle,0.715306847825161
42,rouge-tomate,0.5933336400341706
43,satsuki,0.7920057790661857
44,sushi-amane,0.5440051216630585
45,sushi-inoue,0.6399835696179192
46,sushi-yasuda,0.6792773291619006
47,sushi-zo,0.3589682297652253
48,tempura-matsui,0.5437220923526135
49,the-clocktower,0.6806530752621655
50,the-modern,0.42744971875447574
51,tori-shin,0.3903654015904838
52,uncle-boons,0.6094926278954568
53,ushiwakamaru,0.6162175202463528
54,wallse,0.7351593308394568
55,zzs-clam-bar,0.47218282243639637
